"","V1"
"533004343519772","106.75694444444-106.7296753-106.68970151-106.7607056-106.690557775-106.7049713-106.63438665959-106.7024765-107.07182413879-106.70286708101"
"534795423351077","106.6994095-106.70283202505-106.6950871708-106.7296753-106.71979033289-106.85665970168"
"535137073315462","106.71979033289-106.6992957846-106.69495011742-106.690557775-106.69841-106.72993509444-106.67391541154-106.71979033289"
"535834386574516","106.682-106.7607056-106.68441398812-106.64089067849-106.6946564-106.696373-106.69424160194-106.61765917017"
"536429096515668","106.71979033289-106.64089067849-106.69424160194-106.63438665959-106.66667-106.61765917017"
"539229266235695","106.75694444444-106.6313525-106.71979033289-106.690557775-106.64089067849-106.696373-106.70286708101"
"539326799554165","106.69241100724-106.70405848694-106.7047577-106.7047577-106.7034455236-106.67917191982-106.6867828-106.7047577-106.7057571-106.70304728673-106.75694444444-106.7296753-106.6992957846-106.68441398812-106.696373-106.69050920894-106.7047577-106.6963425-106.7047577-106.71979033289"
"540261832809791","106.682-106.7022018-106.6992957846-106.682-106.682-106.6992957846-106.69495011742-106.690557775-106.69424160194"
"540866352746073","106.6992957846-106.72180771764-106.7607056-106.69495011742-106.71979033289"
"541041122729517","106.66667-106.71979033289-106.69495011742-106.68441398812-106.690557775-106.64089067849-106.696373-106.82437254073-106.70159954742-106.63438665959"
"542351085930522","106.69241100724-105.84945089507-106.7022018-106.6992957846-106.68145883296-106.72180771764-106.6313525-106.69849984932-106.690557775-106.65750606728-106.66977825687"
"542864939199605","106.69241100724-106.682-106.682-106.64913793909-106.69358937319-106.72197311559-106.72180771764-106.70304728673-106.75694444444-106.68004735184-106.7607056-106.71979033289-106.6992957846-106.69495011742-106.682-106.6946564-106.696373-106.69424160194-106.69771298045-106.654713825-106.6874542-106.71979033289"
"546639112159022","106.69241100724-106.70080555556-106.72180771764-106.7607056-106.71979033289-106.6992957846-106.69495011742-106.6969735"
"547643035385173","106.7015-106.68441398812-106.68441398812-106.682-106.703611111-105.90870925333"
"548892231931724","106.70283202505-106.71933129717-106.66527454547-106.70763201883-106.6992957846-106.64913793909-106.6950871708-106.70736002973-106.72180771764-106.75694444444-106.7296753-106.68970151-106.69495011742-106.70763201883-106.690557775-106.64089067849-106.802-106.63438665959-106.71979033289"
"549431708543476","106.69358937319-106.7296753-106.7607056-106.6946564-106.69424160194-106.63438665959"
"551059868404585","106.7015-106.71979033289-106.69495011742-106.690557775-106.690557775-106.696373-106.63438665959-106.68307222528"
"551934978296072","106.71979033289-106.690557775-106.64089067849-106.685997-106.696373-106.65364089422-106.703611111-106.711407-106.71979033289"
"552519028236898","106.79328430398-106.68227894974-106.72180771764-106.7607056-106.6992957846-106.69495011742-106.682-106.690557775-106.70286708101"
"553710531444429","106.70481190705-106.6950871708-106.75694444444-106.6902742472-106.7296753-106.7296753"
"556386637852586","106.70481190705-106.70304728673-106.75694444444-106.7296753-106.71979033289-106.64089067849-106.69434841735-106.70682529841"
"556693517816892","106.7573735832-106.70080555556-106.7022018-106.7015-106.75694444444-106.68441398812-106.69495011742-106.68441398812-106.682-106.690557775-106.690557775-106.64089067849-106.696373"
"559615954200736","106.69241100724-106.79328430398-105.84945089507-106.72197311559-106.72180771764-106.75694444444-106.69495011742"
"562231203927883","105.84945089507-106.662824061-106.7607056-106.69495011742-106.64089067849-106.713295-106.69424160194-106.70682529841-106.63438665959-106.72993509444-106.61765917017"
"563887893777068","106.69324462937-106.72180771764-106.72381019257-106.75694444444-106.68441398812-106.64089067849-106.7296753-106.72638888889-106.72973920659"
"564378157044832","106.72180771764-106.75694444444-106.7607056-106.6992957846-106.69495011742-106.68441398812-106.690557775-106.70286708101"
"565708260247237","106.70763201883-106.682-106.72197311559-106.72180771764-106.7296753-106.7607056-106.7110663-106.72028048706-105.85777777778"
"567767733372047","106.75694444444-106.68970151-106.68441398812-106.690557775-106.68070414717"
"572161542937082","106.70304728673-106.70763201883-106.6961517-106.7014299221-106.6943283-106.6950871708-106.72180771764-106.7296753-106.6992957846-106.70199855042-106.7296753-106.7296753-106.72984182833-106.7296753-106.70481190705-106.7296753"
"580247795461456","106.6988678-106.79328430398-106.66667-106.71979033289-106.690557775-106.64089067849"
"585266574953652","106.71979033289-106.64089067849-106.69424160194-106.682422003-106.61765917017-106.71979033289-106.70286708101"
"587710671382257","106.70763201883-106.7022018-106.69894492325-106.68613586022-106.72197311559-106.70713766289-106.84798991-106.68441398812-106.69495011742-106.68441398812-106.69849984932-106.7708851-106.7296753"
"588438194637783","106.684227-106.70763201883-106.68474658203-106.7607056-106.69495011742-106.690557775-106.685997-106.65750606728-106.69424160194-106.69050920894-106.7098236"
"594268804047130","106.70881032944-106.68816763083-106.7607056-106.70495656-106.682"
"594932890644869","106.75694444444-106.69495011742-106.64089067849-106.70682529841-106.6963425-106.711407-106.69719203186-106.72054156228"
"595204997295165","106.70763201883-106.7075272-106.70713766289-106.7296753-106.7296753-106.7296753-106.70531167299-106.70713766289-106.7296753"
"604517696354265","106.682-106.72180771764-106.7296753-106.65750606728-106.69424160194-106.69050920894"
"617314225074105","106.70304728673-106.70304728673-106.75694444444-106.7607056-106.71979033289-106.69495011742-106.690557775-106.64089067849-106.70602634292-106.70398235321"
"625758314229025","106.7022018-106.72180771764-106.6241884-106.682-106.690557775-106.7737198"
"626469317493279","106.69241100724-106.6988678-106.66729028639-106.705658-106.68613586022-106.6992957846-106.68441398812-106.682-106.6969528-106.66851385307-106.70602634292-106.69050920894-106.69841-106.69490278-105.90870925333-106.6722132054-106.75099489833"
"630907087049569","106.70405848694-106.68779625368-106.7047577-106.64913793909-106.6950871708-106.7057571-106.6963425"
"634638469972286","106.7607056-106.64089067849-106.66317146073-106.70682529841-106.63438665959-106.6969735-106.7006302-106.71813203764-106.71979033289"
"641011606001289","106.67917191982-106.67784619184-106.682-106.6950871708-106.7015-106.70304728673-106.6992957846-106.65770991516-106.68441398812-106.690557775-106.682-106.6930771-106.7033615-106.768760934-106.72802696-106.69223729358-106.63438665959-106.70280163624-106.7034455236-106.70280163624-106.7047577-106.682-106.71979033289"
"643772309097071","106.70763201883-106.7022018-106.72180771764-106.84798991-106.68441398812-106.685997"
"648356888637256","105.84945089507-106.6811295-106.72180771764-106.7607056-106.690557775-106.65611311028-106.682-106.70682529841-106.71813203764"
"654391061369473","105.84945089507-106.67917191982-106.7022018-106.72180771764-106.75694444444-106.7296753-106.64089067849-105.90870925333-106.75099489833"
"656073034532759","106.7015-106.7607056-106.71979033289-106.69495011742-106.690557775-106.690557775-106.64089067849-106.66573171477"
"657825667692595","106.68816763083-106.67423232269-106.682-106.67784619184-106.6950871708-106.72197311559-106.7015-106.72180771764-106.75694444444-106.7296753-106.7607056-106.69495011742-106.682-106.690557775-106.685997"
