,userID,eventID,status,time_score,location_score
120,1.11849E+14,9.47083E+14,0,0,0.398917099
121,1.12037E+14,4.24468E+14,1,0,0.398372152
122,1.12037E+14,1.00666E+15,1,0,0.398556621
123,1.12037E+14,8.57623E+14,1,0.735284486,0.398259646
124,1.12037E+14,1.05292E+15,1,0,0.397421589
125,1.12037E+14,9.31978E+14,1,0.132453236,0.398307832
126,1.12037E+14,1.72849E+15,1,0,0.398558867
127,1.12037E+14,6.77953E+14,1,0,0.398646519
128,1.12037E+14,4.50414E+14,1,0.152943823,0.398721909
129,1.12445E+14,9.14116E+14,1,0,0.794444362
130,1.12661E+14,1.51595E+15,0,0,0.398863924
131,1.12986E+14,9.83628E+14,1,0.182574186,0.79768994
132,1.12988E+14,4.06829E+14,1,0.683130051,1.194913708
133,1.13283E+14,1.33799E+14,0,0.316227766,0
134,1.13283E+14,5.53707E+14,0,0,0
135,1.13962E+14,5.11805E+14,0,0,0.398148885
136,1.13962E+14,1.48966E+14,0,0,0.398583295
137,1.14837E+14,5.87787E+14,0,0,0.245924228
138,1.15842E+14,5.38279E+14,1,0,0.398240156
139,1.16096E+14,5.87787E+14,1,0.725063679,0
140,1.16248E+14,4.82839E+14,1,0.439941345,0
141,1.16385E+14,5.57425E+14,0,0,0.398609755
142,1.16385E+14,1.33799E+14,0,0,0.398684644
143,1.16385E+14,8.90966E+14,0,0,0.398684644
144,1.16456E+14,4.94764E+14,0,0,0
145,1.16542E+14,1.67686E+15,1,0.654653671,1.594809014
146,1.166E+14,4.94764E+14,0,0.267261242,0.398560436
147,1.16687E+14,1.47933E+14,1,0,1.184521027
148,1.17139E+14,5.87787E+14,1,0,0
149,1.17139E+14,8.74334E+14,0,0,0
150,1.17139E+14,1.64751E+15,0,0,0
151,1.17188E+14,8.30957E+14,0,0,0
152,1.17188E+14,7.95999E+14,0,0,0
153,1.17188E+14,1.64751E+15,0,0,0
154,1.17188E+14,8.20001E+14,0,0,0
