"","V1"
"172315433118941","10.804019-10.776888888889-10.730744814924-10.780833333333-10.8585741-10.741962426559-10.79258767-10.755595133788-10.801555428539-10.808119400078"
"173533356327149","10.7899704-10.75-10.779492333935-10.729509080508-10.730852785315-10.813112038302-10.741962426559-10.79423034573"
"173919176289173","10.729509080508-10.8171473-10.797913712459-10.7694-10.801555428539-10.726910700135"
"175831896097425","10.767313098301-10.767313098301-10.813112038302-10.767313098301-10.767313098301-10.767313098301-10.772821261302-10.767313098301"
"176391522707618","10.8585741-10.779492333935-10.741962426559-10.79258767-10.79258767-10.797913712459-10.7750301"
"177780089237166","10.726910700135-10.803321980356-10.741962426559-10.79258767-10.8068469617-10.726910700135"
"178510749163505","10.7694-10.7899704-10.730852785315-10.730744814924-10.775833333333-10.7726402-10.738611111111-10.8068469617"
"178774769134702","10.730744814924-10.780833333333-10.813112038302"
"179600542386958","10.776888888889-10.780833333333-10.803321980356"
"180239765657897","10.7769519588-10.803321980356-10.79258767-10.79258767-10.797913712459-10.714840625129"
"181197955557698","10.787764669388-10.729411608643-10.8585741-10.741962426559-10.79258767-10.797913712459-10.787859"
"182838272059550","10.795590790197-10.8585741-10.741962426559-10.8554313-10.79258767-10.727599639211"
"183303518680714","21.01124483185-10.75950582733-10.775967031518-10.775967031518"
"183303732011968","10.766129429041-10.803321980356-10.741962426559-10.803321980356-10.79258767-10.79258767-10.7694-10.787859"
"183518768659436","10.779492333935-10.803321980356-10.79258767-10.79258767-10.7841666667"
"183740808638809","10.7694-10.784932328478-10.7899704-10.777698260699-10.779492333935-10.762200730909-10.803321980356-10.7694-10.766129429041"
"184243938587150","10.779934425415-10.77014849532-10.7807903-10.766129429041-10.790258594234-10.8488503-10.7694-10.7777824-10.790258594234-10.779492333935-10.7940111-10.730852785315-10.813112038302-10.8171473-10.7694-10.803321980356-10.803321980356-10.741962426559-10.766129429041-10.766129429041-10.790258594234-10.765942902456-10.773573760021"
"186952004978920","10.762200730909-10.762200730909-10.741962426559-10.797913712459-10.804634796667"
"187096768301841","10.779934425415-10.803321980356-10.7694-10.7837296-10.75-10.773447283294"
"187839961560708","10.77014849532-10.780833333333-10.803321980356-10.79258767-10.797913712459-10.7768402"
"188426548164696","21.01124483185-10.8585741-10.779492333935-10.75950582733-10.79258767-10.797913712459-10.773447283294"
"188622934811728","10.741962426559-10.729762249729-10.784618187806-10.738611111111-10.727599639211-10.801555428539-10.808119400078"
