"","V1"
"171160366569555","106.6953964-106.6994095-106.70763201883-106.66729028639-106.7022018-106.68439116-106.6867828-106.7047577-106.7034455236-106.69894492325-106.6992957846-106.64913793909-106.69324462937-106.72197311559-106.68779625368-106.72180771764-106.73539745265-106.705658-106.84798991-106.7296753-106.69685943794-106.7607056-106.68441398812-106.68441398812-106.6506958-106.70763201883-106.69894492325-106.7365646-106.693573"
"171534213198113","106.68227894974-106.682-106.7573735832-106.7022018-106.6992957846-106.6806717-106.72197311559-106.72180771764-106.75694444444-106.7296753-106.71979033289-106.68441398812-106.6992957846-106.69495011742-106.690557775-106.64089067849-106.69050920894-106.63438665959-106.72993509444-106.60165863424-106.70337684453-106.66739702225-106.72054156228-106.71979033289-106.70286708101"
"171950143153804","106.72180771764-106.71979033289-106.68441398812-106.6992957846-106.690557775-106.690557775-106.69719203186-106.70286708101"
"172234749790478","106.682-106.69495011742-106.68441398812-106.64089067849-106.69424160194"
"172315433118941","106.6852646-106.70080555556-106.72180771764-106.75694444444-106.7607056-106.69495011742-106.690557775-106.69050920894-106.61765917017-106.70286708101"
"173533356327149","106.7022018-106.66667-106.6992957846-106.69324462937-106.72197311559-106.84798991-106.69495011742-106.71903735585"
"173919176289173","106.69324462937-106.7296753-106.64089067849-106.682-106.61765917017-106.71979033289"
"175831896097425","106.70713766289-106.70713766289-106.84798991-106.70713766289-106.70713766289-106.70713766289-106.70473966781-106.70713766289"
"176391522707618","106.7607056-106.6992957846-106.69495011742-106.690557775-106.690557775-106.64089067849-106.69841"
"177780089237166","106.71979033289-106.68441398812-106.69495011742-106.690557775-106.63438665959-106.71979033289"
"178510749163505","106.682-106.7022018-106.72197311559-106.72180771764-106.7015-106.7049713-106.72638888889-106.63438665959"
"178774769134702","106.72180771764-106.75694444444-106.84798991"
"179600542386958","106.70080555556-106.75694444444-106.68441398812"
"180239765657897","106.68970151-106.68441398812-106.690557775-106.690557775-106.64089067849-106.72946533074"
"181197955557698","106.69358937319-106.6950871708-106.7607056-106.69495011742-106.690557775-106.64089067849-106.696373"
"182838272059550","106.65482121754-106.7607056-106.69495011742-106.6241884-106.690557775-106.71904371941"
"183303518680714","105.84945089507-106.6902742472-106.6940911056-106.6940911056"
"183303732011968","106.70763201883-106.68441398812-106.69495011742-106.68441398812-106.690557775-106.690557775-106.682-106.696373"
"183518768659436","106.6992957846-106.68441398812-106.690557775-106.690557775-106.703611111"
"183740808638809","106.682-106.69902420618-106.7022018-106.70481190705-106.6992957846-106.64913793909-106.68441398812-106.682-106.70763201883"
"184243938587150","106.70304728673-106.69241100724-106.6988678-106.70763201883-106.69894492325-106.7737198-106.682-106.6811295-106.69894492325-106.6992957846-106.6806717-106.72197311559-106.84798991-106.7296753-106.682-106.68441398812-106.68441398812-106.69495011742-106.70763201883-106.70763201883-106.69894492325-106.67423232269-106.69719203186"
"186952004978920","106.64913793909-106.64913793909-106.69495011742-106.64089067849-106.75099489833"
"187096768301841","106.70304728673-106.68441398812-106.682-106.6946564-106.66667-106.69424160194"
"187839961560708","106.69241100724-106.75694444444-106.68441398812-106.690557775-106.64089067849-106.685997"
"188426548164696","105.84945089507-106.7607056-106.6992957846-106.6902742472-106.690557775-106.64089067849-106.69424160194"
"188622934811728","106.69495011742-106.72477507064-106.66802465916-106.72638888889-106.71904371941-106.61765917017-106.70286708101"
"188774291465079","106.682-106.6811295-106.7022018-106.70736002973-106.7296753-106.7607056-106.6992957846-106.68441398812-106.682-106.690557775-106.690557775"
"188932614781344","106.70283202505-106.75143820838-106.6992957846-106.690557775-106.64089067849-106.85665970168-106.72054156228"
"189917894683001","106.70304728673-106.6953964-106.682-106.70763201883-106.70011027527-106.6992957846-106.64913793909-106.64913793909-106.6950871708-106.72197311559-106.72180771764-106.75694444444-106.7607056-106.68441398812-106.6992957846-106.68441398812-106.69495011742-106.693573-106.69424160194-106.65611311028-106.70682529841"
"190758377929135","106.68816763083-106.68923608697-106.690557775-106.64089067849"
"190802747923257","106.70763201883-106.7022018-106.72180771764-106.75694444444-106.84798991-106.7296753-106.68441398812-106.682-106.69849984932"
"191477854524248","106.682-106.6992957846-106.7607056-106.6992957846-106.690557775"
"191768501165993","106.71979033289-106.69495011742-106.690557775-106.69050920894-106.63438665959"
"191860567816048","106.6988678-106.71578443662-106.6992957846-106.67784619184-106.7098236-106.6806717-106.7015-106.7607056-106.682-106.68441398812-106.6992957846-106.68441398812-106.682-106.690557775-106.65750606728-106.69129653645-106.768760934-106.69111664667-106.69050920894-106.69111664667"
"192136344460462","106.79328430398-106.65482121754-106.72180771764-106.71979033289-106.68441398812-106.68441398812-106.65770991516-106.68441398812-106.68441398812-106.682-106.690557775-106.6559067-106.7183914-106.768760934-106.66802465916-106.69490278-106.68284527939-106.66667"
"192474881087926","106.71979033289-106.6992957846-106.690557775-106.690557775-106.6988678-106.61765917017"
"192594487743822","106.70763201883-106.7024765-106.682"
"192639284405898","106.6811295-106.6950871708-106.75694444444-106.7015-106.71979033289-106.6992957846-106.69841-106.71979033289"
"192791097725875","106.70763201883-106.72197311559-106.72180771764-106.75694444444-106.84798991-106.7296753-106.68441398812"
"193016494372691","106.70304728673-106.70763201883-106.7022018-106.70481190705-106.75694444444-106.7296753"
"193719064300608","106.70481190705-106.70763201883-106.70481190705-106.70481190705-106.70481190705-106.70481190705-106.70481190705-106.70481190705"
